Metropolitan Area,CBSA Title,Score
" Pittsburgh-New Castle-Weirton, PA-OH-WV CSA","Pittsburgh, PA",48
" Boston-Worcester-Providence, MA-RI-NH-CT CSA","Boston-Cambridge-Newton, MA-NH",60
" Buffalo-Niagara Falls, NY ","Buffalo-Cheektowaga, NY",61
" Denver-Aurora-Lakewood, CO ","Denver-Aurora-Centennial, CO",62
" Indianapolis-Carmel-Anderson, IN ","Indianapolis-Carmel-Greenwood, IN",70
" Atlanta-Sandy Springs-Alpharetta, GA ","Atlanta-Sandy Springs-Roswell, GA",72
" Las Vegas-Henderson-Paradise, NV ","Las Vegas-Henderson-North Las Vegas, NV",72
" San Francisco-Oakland-Berkeley, CA ","San Francisco-Oakland-Fremont, CA",74
" Austin-Round Rock-Georgetown, TX ","Austin-Round Rock-San Marcos, TX",74
" Cleveland-Elyria, OH ","Cleveland, OH",77
" Hartford-East Hartford-Middletown, CT ","Hartford-West Hartford-East Hartford, CT",77
" Virginia Beach-Norfolk-Newport News, VA-NC ","Virginia Beach-Chesapeake-Norfolk, VA-NC",78
" Birmingham-Hoover, AL ","Birmingham, AL",79
" Houston-The Woodlands-Sugar Land, TX ","Houston-Pasadena-The Woodlands, TX",82
" Salt Lake City, UT ","Salt Lake City-Murray, UT",83
" New York City-Newark-Jersey City, NY-NJ-PA ","New York-Newark-Jersey City, NY-NJ",89
" Chicago-Naperville-Elgin, IL-IN-WI ","Chicago-Naperville-Elgin, IL-IN",95
" Los Angeles-Long Beach-Anaheim, CA ","Los Angeles-Long Beach-Anaheim, CA",100
" Dallas-Fort Worth-Arlington, TX ","Dallas-Fort Worth-Arlington, TX",100
" Washington-Arlington-Alexandria, DC-VA-MD-WV ","Washington-Arlington-Alexandria, DC-VA-MD-WV",100
" Miami-Fort Lauderdale-West Palm Beach, FL ","Miami-Fort Lauderdale-West Palm Beach, FL",100
" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",100
" Phoenix-Mesa-Chandler, AZ ","Phoenix-Mesa-Chandler, AZ",100
" Riverside-San Bernardino-Ontario, CA ","Riverside-San Bernardino-Ontario, CA",100
" Detroit–Warren–Dearborn, MI ","Detroit-Warren-Dearborn, MI",100
" Seattle-Tacoma-Bellevue, WA ","Seattle-Tacoma-Bellevue, WA",100
" Minneapolis-St Paul-Bloomington, MN-WI ","Minneapolis-St. Paul-Bloomington, MN-WI",100
" San Diego-Chula Vista-Carlsbad, CA ","San Diego-Chula Vista-Carlsbad, CA",100
" Tampa-St Petersburg-Clearwater, FL ","Tampa-St. Petersburg-Clearwater, FL",100
" St Louis, MO-IL ","St. Louis, MO-IL",100
" Baltimore-Columbia-Towson, MD ","Baltimore-Columbia-Towson, MD",100
" Charlotte-Concord-Gastonia, NC-SC ","Charlotte-Concord-Gastonia, NC-SC",100
" Orlando-Kissimmee-Sanford, FL ","Orlando-Kissimmee-Sanford, FL",100
" San Antonio-New Braunfels, TX ","San Antonio-New Braunfels, TX",100
" Portland-Vancouver-Hillsboro, OR-WA ","Portland-Vancouver-Hillsboro, OR-WA",100
" Sacramento-Roseville-Folsom, CA ","Sacramento-Roseville-Folsom, CA",100
" Cincinnati, OH-KY-IN ","Cincinnati, OH-KY-IN",100
" Kansas City, MO-KS ","Kansas City, MO-KS",100
" Columbus, OH ","Columbus, OH",100
" San Jose-Sunnyvale-Santa Clara, CA ","San Jose-Sunnyvale-Santa Clara, CA",100
" Nashville-Davidson–Murfreesboro–Franklin, TN ","Nashville-Davidson--Murfreesboro--Franklin, TN",100
" Providence-Warwick, RI-MA ","Providence-Warwick, RI-MA",100
" Milwaukee-Waukesha, WI ","Milwaukee-Waukesha, WI",100
" Jacksonville, FL ","Jacksonville, FL",100
" Oklahoma City, OK ","Oklahoma City, OK",100
" Raleigh-Cary, NC ","Raleigh-Cary, NC",100
" Memphis, TN-MS-AR ","Memphis, TN-MS-AR",100
" Richmond, VA ","Richmond, VA",100
" New Orleans-Metairie, LA ","New Orleans-Metairie, LA",100
" Louisville/Jefferson County, KY-IN ","Louisville/Jefferson County, KY-IN",100
